,uniqueID,appTitle,userName,date,date_extracted,rating,text,category,contentRating,comment,sentiScore_pos,sentiScore_neg,label_Bug,label_Feature,label_UserExperience,label_Rating,lemmatized_comment,stopwords_removal,stopwords_removal_lemmatization,stemmed,stopwords_removal_nltk,sentiScore,length_words,Predicted_labels
522215,796591,Zelle,Anthony Bransky,2019-02-15,2019-04-01,1,I can't even make an account.,FINANCE,Everyone,I can  t even make an account,1,-1,Bug,Not_Feature,Not_UserExperience,Not_Rating,  I can t even make an account,  can even make account,  can even make account,  i can t even make an account,  even make account,1,7,Rating
337743,516553,Ball Mayhem!,,2019-02-13,2019-03-24,1,too many adds not worth it...,GAME ACTION,Everyone,too many not worth it,1,-1,Not_Bug,Not_Feature,Not_UserExperience,Ratings,  too many not worth it,  too many not worth,  too many not worth,  too mani not worth it,  many worth,1,5,Rating
976594,1504990,PUBG MOBILE,H Gamer,2019-04-14,2019-04-14,5,we want a flag of kurdistan,GAME ACTION,Teen,we want a flag of,1,-1,Not_Bug,Feature,Not_UserExperience,Not_Rating,  we want a flag of,  want flag of,  want flag of,  we want a flag of,  want flag,1,5,Rating
336602,514618,Kick the Buddy,,2019-03-22,2019-03-24,4,ia love it it just needs more free things without ads,GAME ACTION,Teen,love it it just needs more free without,3,-1,Not_Bug,Feature,Not_UserExperience,Not_Rating,  love it it just need more free without,  love just needs more free without,  love just need more free without,  love it it just need more free without,  love needs free without,3,8,Rating
890260,1368453,Amazon Prime Video,jason stott,2019-04-14,2019-04-14,5,always been a great source of entertainment so glad it's included with my Prime Membership I use almost every day,ENTERTAINMENT,Teen,always been a great source of entertainment so glad it  s included with my Prime Membership I use almost every day,3,-2,Not_Bug,Not_Feature,UserExperience,Not_Rating,  always been a great source of entertainment so glad it s included with my Prime Membership I use almost every day,  always been great source of entertainment so glad included with prime membership use almost every day,  always been great source of entertainment so glad included with prime membership use almost every day,  alway been a great sourc of entertain so glad it s includ with my prime membership i use almost everi day,  always great source entertainment glad included prime membership use almost every day,3,21,Not_Rating
995727,1537880,Sweatcoin Pays You To Get Fit,Samantha Webster,2019-03-03,2019-04-14,4,"Love it, had loads of freebies/discounts.. Always on in background so can drain battery but not too bad for my phone (Huawei p8 lite)",HEALTH AND FITNESS,Everyone,Love it  had of   Always on in background so can drain battery but not too bad for my phone  p8 lite,3,-1,Not_Bug,Not_Feature,UserExperience,Not_Rating,  Love it had of Always on in background so can drain battery but not too bad for my phone p8 lite,  love had of always background so can drain battery but not too bad for phone p8 lite,  love had of always background so can drain battery but not too bad for phone p8 lite,  love it had of alway on in background so can drain batteri but not too bad for my phone p8 lite,  love always background drain battery bad phone p8 lite,3,21,Not_Rating
890217,1368385,STARZ,A Google User,2018-10-13,2019-04-14,1,It sucks says I have it on 5 devices I only own one device so what's the story ? Any chance every hear back ? Not a chance right,ENTERTAINMENT,Mature 17+,It I have it on I only own one device so what  s the story  Any chance every hear back  Not a chance right,1,-1,Not_Bug,Feature,Not_UserExperience,Not_Rating,  It I have it on I only own one device so what s the story Any chance every hear back Not a chance right,  have only own one device so what story any chance every hear back not chance right,  have only own one device so what story any chance every hear back not chance right,  it i have it on i onli own one devic so what s the stori ani chanc everi hear back not a chanc right,  one device story chance every hear back chance right,1,24,Not_Rating
728361,1117890,IRS2Go,A Google User,2015-02-22,2019-04-07,1,Does not work,FINANCE,Everyone,Does not work,1,-1,Bug,Not_Feature,Not_UserExperience,Not_Rating,  Does not work,  does not work,  doe not work,  doe not work,  work,1,3,Rating
621269,952192,Free Music Player â€“ Online & Offline MP3 Player,A Google User,2019-01-19,2019-04-01,5,I love this app,MUSIC AND AUDIO,Teen,I love this,3,-1,Not_Bug,Not_Feature,Not_UserExperience,Ratings,  I love this,  love this,  love this,  i love this,  love,3,3,Rating
567853,869738,"Calm - Meditate, Sleep, Relax",Marcie Gibson,2019-01-13,2019-04-01,1,"Great useful app... I am giving it a single star due to the customer service. I tried the 7 day trial and for 4 out of those 7 days, I attempted to cancel the subscription and get ahold of their team. I recieved no answers or help at all AND was charged the amount a day early! After multiple ""calm"" attempts of trying to reach them, I told them I would get a lawyer involved and I guess it worked since they finally answered...",HEALTH AND FITNESS,Everyone,Great useful  I am giving it a single star due to the customer service  I tried the day trial and for out of those days  I to cancel the subscription and get of their team  I no or help at all AND was the amount a day early  After multiple  calm  of trying to reach them  I told them I would get a lawyer involved and I guess it worked since they finally,3,-2,Not_Bug,Not_Feature,Not_UserExperience,Ratings,  Great useful I am giving it a single star due to the customer service I tried the day trial and for out of those day I to cancel the subscription and get of their team I no or help at all AND wa the amount a day early After multiple calm of trying to reach them I told them I would get a lawyer involved and I guess it worked since they finally,  great useful giving single star due to customer service tried day trial for of those days to cancel subscription get of team no or help at all was amount day early after multiple calm of trying to reach told would get lawyer involved guess worked since finally,  great useful giving single star due to customer service tried day trial for of those day to cancel subscription get of team no or help at all wa amount day early after multiple calm of trying to reach told would get lawyer involved guess worked since finally,  great use i am give it a singl star due to the custom servic i tri the day trial and for out of those day i to cancel the subscript and get of their team i no or help at all and was the amount a day earli after multipl calm of tri to reach them i told them i would get a lawyer involv and i guess it work sinc they final,  great useful giving single star due customer service tried day trial days cancel subscription get team help amount day early multiple calm trying reach told would get lawyer involved guess worked since finally,3,73,Rating
620160,950450,Pandora Music,Isidro Cruz,2019-03-13,2019-04-01,1,i have been using Pandora for about five years and the feature that I like the most is the Pandora premium that you could use after watching an ad but now that feature is useless since Pandora restricted most of the songs so I ask i know I speak for most who use that feature that we get to listen to the songs that were blocked from our satisfaction,MUSIC AND AUDIO,Teen,i have been Pandora for about five and the feature that I like the most is the Pandora premium that you could use after watching an ad but now that feature is useless since Pandora restricted most of the so I ask i know I speak for most who use that feature that we get to listen to the that were blocked from our satisfaction,2,-3,Not_Bug,Not_Feature,UserExperience,Not_Rating,  i have been Pandora for about five and the feature that I like the most is the Pandora premium that you could use after watching an ad but now that feature is useless since Pandora restricted most of the so I ask i know I speak for most who use that feature that we get to listen to the that were blocked from our satisfaction,  have been pandora for about five feature that like most pandora premium that could use after watching ad but now that feature useless since pandora restricted most of so ask know speak for most who use that feature that get to listen to that were blocked from satisfaction,  have been pandora for about five feature that like most pandora premium that could use after watching ad but now that feature useless since pandora restricted most of so ask know speak for most who use that feature that get to listen to that were blocked from satisfaction,  i have been pandora for about five and the featur that i like the most is the pandora premium that you could use after watch an ad but now that featur is useless sinc pandora restrict most of the so i ask i know i speak for most who use that featur that we get to listen to the that were block from our satisfact,  pandora five feature like pandora premium could use watching ad feature useless since pandora restricted ask know speak use feature get listen blocked satisfaction,-3,65,Not_Rating
610183,934393,Horoscope Prediction - Zodiac Signs Astrology,gurudatt suthar,2019-03-12,2019-04-01,5,it's so amazing i love this app,LIFESTYLE,Everyone,it  s so amazing i love this,3,-1,Not_Bug,Not_Feature,Not_UserExperience,Ratings,  it s so amazing i love this,  so amazing love this,  so amazing love this,  it s so amaz i love this,  amazing love,3,7,Rating
758578,1165730,Sniper 3D Gun Shooter: Free Elite Shooting Games,Graham Collett,2019-04-07,2019-04-07,5,Exerlent good game all round 5,GAME ACTION,Mature 17+,good game all round,2,-1,Not_Bug,Not_Feature,Not_UserExperience,Ratings,  good game all round,  good game all round,  good game all round,  good game all round,  good game round,2,4,Rating
689590,1058296,Tubi - Free Movies & TV Shows,A Google User,2019-03-29,2019-04-07,5,very great.. love it...,ENTERTAINMENT,Teen,very great  love it,4,-1,Not_Bug,Not_Feature,Not_UserExperience,Ratings,  very great love it,  very great love,  very great love,  veri great love it,  great love,4,4,Rating
543232,829723,Tomb of the Mask,Rayvem19,2019-03-20,2019-04-01,5,"intriguing game, it has a pacman esque with a 8 bit mega man style to it. Minus enemy and boss battles.",GAME ACTION,Everyone,intriguing game  it a with a bit man style to it  Minus enemy and boss,1,-2,Not_Bug,Not_Feature,UserExperience,Not_Rating,  intriguing game it a with a bit man style to it Minus enemy and bos,  intriguing game with bit man style to minus enemy boss,  intriguing game with bit man style to minus enemy bos,  intrigu game it a with a bit man style to it minus enemi and boss,  intriguing game bit man style minus enemy boss,-2,15,Not_Rating
324763,493388,Battle Royale: FPS Shooter,,2019-03-01,2019-03-24,5,its so cool,GAME ACTION,Teen,its so cool,2,-1,Not_Bug,Not_Feature,Not_UserExperience,Ratings,  it so cool,  so cool,  so cool,  it so cool,  cool,2,3,Rating
635162,973675,Apple Music,Barry Schlosser,2019-02-14,2019-04-01,1,"Not good. I just wanted to access my existing iTunes library's songs, no need to stream other content. This app does not appear to do this. Uninstalled.",MUSIC AND AUDIO,Teen,Not good  I just to access my library  s  no need to stream other content  This does not appear to do this  Uninstalled,1,-2,Not_Bug,Not_Feature,UserExperience,Not_Rating,  Not good I just to access my library s no need to stream other content This doe not appear to do this Uninstalled,  not good just to access library no need to stream other content this does not appear to do this uninstalled,  not good just to access library no need to stream other content this doe not appear to do this uninstalled,  not good i just to access my librari s no need to stream other content this doe not appear to do this uninstal,  good access library need stream content appear uninstalled,-2,23,Not_Rating
109540,167278,Netflix,Juliet Ify Unigwe,2019-03-13,2019-03-13,5,great movie hub,ENTERTAINMENT,Teen,great movie hub,3,-1,Not_Bug,Not_Feature,Not_UserExperience,Ratings,  great movie hub,  great movie hub,  great movie hub,  great movi hub,  great movie hub,3,3,Rating
978814,1509137,Helix Jump,Cesar Lacerna,2019-04-12,2019-04-14,1,dis is so funny,GAME ACTION,Everyone,dis is so funny,2,-1,Not_Bug,Not_Feature,Not_UserExperience,Ratings,  dis is so funny,  dis so funny,  dis so funny,  dis is so funni,  dis funny,2,4,Rating
829227,1275607,Family Locator - GPS Tracker,Murigeppa Hulagabali,2019-03-31,2019-04-07,5,super app i am very much satisfied including my family,LIFESTYLE,Everyone,super i am very much satisfied my family,3,-1,Not_Bug,Not_Feature,UserExperience,Not_Rating,  super i am very much satisfied my family,  super very much satisfied family,  super very much satisfied family,  super i am veri much satisfi my famili,  super much satisfied family,3,8,Rating
64403,95551,PUBG MOBILE,,2019-03-08,2019-03-08,1,i have not,GAME ACTION,Teen,i have not,1,-1,Not_Bug,Not_Feature,UserExperience,Not_Rating,  i have not,  have not,  have not,  i have not, ,1,3,Rating
811960,1248698,Unicorn Slime Maker and Simulator,A Google User,2019-02-01,2019-04-07,5,My name is Daimond and i love the slime,LIFESTYLE,Teen,My name is and i love the slime,3,-2,Not_Bug,Not_Feature,Not_UserExperience,Ratings,  My name is and i love the slime,  name love slime,  name love slime,  my name is and i love the slime,  name love slime,3,8,Rating
50218,72965,TurboTax Tax Return App â€“ Max Refund Guaranteed,,2018-04-17,2019-03-08,5,"I hate it when the IRS withholds more money than they should and makes me 
beg(file) to get a refund. With TurboTax more often than not I can file for 
a refund without paying, free, gratis! Turbo tax is an excellent product!",FINANCE,Everyone,I hate it when the more money than they should and me beg  file  to get a refund  With more often than not I can file for a refund without paying  free  gratis  Turbo tax is an excellent product,4,-4,Not_Bug,Not_Feature,UserExperience,Not_Rating,  I hate it when the more money than they should and me beg file to get a refund With more often than not I can file for a refund without paying free gratis Turbo tax is an excellent product,  hate when more money than should beg file to get refund with more often than not can file for refund without paying free gratis turbo tax excellent product,  hate when more money than should beg file to get refund with more often than not can file for refund without paying free gratis turbo tax excellent product,  i hate it when the more money than they should and me beg file to get a refund with more often than not i can file for a refund without pay free grati turbo tax is an excel product,  hate money beg file get refund often file refund without paying free gratis turbo tax excellent product,4,39,Not_Rating
190472,292021,"Calm - Meditate, Sleep, Relax",Dan Moore,2018-11-28,2019-03-16,5,It is very calming and it can help you with anything,HEALTH AND FITNESS,Everyone,It is very and it can help you with anything,1,-1,Not_Bug,Not_Feature,Not_UserExperience,Ratings,  It is very and it can help you with anything,  very can help with anything,  very can help with anything,  it is veri and it can help you with anyth,  help anything,1,10,Rating
632456,969511,Amazon Music,Matthew Miller,2019-03-23,2019-04-01,5,It's pretty awesome and reliable.,MUSIC AND AUDIO,Teen,It  s pretty awesome and reliable,4,-1,Not_Bug,Not_Feature,Not_UserExperience,Ratings,  It s pretty awesome and reliable,  pretty awesome reliable,  pretty awesome reliable,  it s pretti awesom and reliabl,  pretty awesome reliable,4,6,Rating
654064,1001492,Photomath,D RED,2019-03-18,2019-04-07,5,easy to check my answers,EDUCATION,Everyone,easy to check my,1,-1,Not_Bug,Not_Feature,UserExperience,Not_Rating,  easy to check my,  easy to check,  easy to check,  easi to check my,  easy check,1,4,Rating
758204,1165000,Helix Jump,Eric Stibal,2019-04-02,2019-04-07,1,to manny ads. you play for 15 seconds then you have to watch 1 min worth of ads. not worth it.,GAME ACTION,Everyone,to manny  you play for then you have to watch min worth of  not worth it,1,-1,Not_Bug,Not_Feature,UserExperience,Not_Rating,  to manny you play for then you have to watch min worth of not worth it,  to manny play for then have to watch min worth of not worth,  to manny play for then have to watch min worth of not worth,  to manni you play for then you have to watch min worth of not worth it,  manny play watch min worth worth,1,16,Not_Rating
900940,1386866,Pluto TV - Itâ€™s Free TV,A Google User,2019-03-16,2019-04-14,4,its a pretty good app for free. mostley interested in news and they got that covered. sometimes the guide is not easy to read.upgrade would be appreciated.,ENTERTAINMENT,Teen,its a pretty good for free  interested in news and they got that covered  sometimes the guide is not easy to read  upgrade would be,3,-1,Not_Bug,Feature,Not_UserExperience,Not_Rating,  it a pretty good for free interested in news and they got that covered sometimes the guide is not easy to read upgrade would be,  pretty good for free interested news got that covered sometimes guide not easy to read upgrade would be,  pretty good for free interested news got that covered sometimes guide not easy to read upgrade would be,  it a pretti good for free interest in news and they got that cover sometim the guid is not easi to read upgrad would be,  pretty good free interested news got covered sometimes guide easy read upgrade would,3,25,Not_Rating
1005935,1552173,"Calm - Meditate, Sleep, Relax",Angela Loftis,2019-03-06,2019-04-14,5,"I love Calm, it music, stories meditations all of of it. I love that I can set it to remind me to meditate.",HEALTH AND FITNESS,Everyone,I love Calm  it music  all of of it  I love that I can set it to remind me to meditate,3,-1,Not_Bug,Not_Feature,UserExperience,Not_Rating,  I love Calm it music all of of it I love that I can set it to remind me to meditate,  love calm music all of of love that can set to remind to meditate,  love calm music all of of love that can set to remind to meditate,  i love calm it music all of of it i love that i can set it to remind me to medit,  love calm music love set remind meditate,3,21,Not_Rating
586246,895779,Calorie Counter - MyFitnessPal,Larry Caudle,2019-04-01,2019-04-01,5,"This is a amazing app to keep up with your macros. Especially with a strict diet. ut helps me stay on point, and focused.",HEALTH AND FITNESS,Everyone,This is a amazing to keep up with your  Especially with a strict diet  ut me stay on point  and,3,-2,Not_Bug,Not_Feature,Not_UserExperience,Ratings,  This is a amazing to keep up with your Especially with a strict diet ut me stay on point and,  this amazing to keep with especially with strict diet ut stay point,  this amazing to keep with especially with strict diet ut stay point,  this is a amaz to keep up with your especi with a strict diet ut me stay on point and,  amazing keep especially strict diet ut stay point,3,20,Rating
228002,345013,PBS KIDS Video,Amber Day,2017-02-06,2019-03-24,5,I love it it's awesome,EDUCATION,Everyone,I love it it  s awesome,3,-1,Not_Bug,Not_Feature,Not_UserExperience,Ratings,  I love it it s awesome,  love awesome,  love awesome,  i love it it s awesom,  love awesome,3,6,Rating
265978,405870,Love Poly - New puzzle game,,2019-03-23,2019-03-24,5,its hard but awesome pls make it alot easier pls!,FAMILY,Everyone,its hard but awesome make it easier,3,-1,Not_Bug,Not_Feature,UserExperience,Not_Rating,  it hard but awesome make it easier,  hard but awesome make easier,  hard but awesome make easier,  it hard but awesom make it easier,  hard awesome make easier,3,7,Rating
541544,826676,Battle Royale: FPS Shooter,gioghost martinez - delgado,2019-03-03,2019-04-01,5,it was good,GAME ACTION,Teen,it was good,2,-1,Not_Bug,Not_Feature,Not_UserExperience,Ratings,  it wa good,  was good,  wa good,  it was good,  good,2,3,Rating
193758,296524,Samsung Health,Ayeyi Ansah,2019-02-19,2019-03-16,2,My daily step count is not being synced with the monthly world step challenge.,HEALTH AND FITNESS,Everyone,My daily step count is not being with the monthly world step challenge,1,-2,Bug,Not_Feature,Not_UserExperience,Not_Rating,  My daily step count is not being with the monthly world step challenge,  daily step count not being with monthly world step challenge,  daily step count not being with monthly world step challenge,  my daili step count is not be with the month world step challeng,  daily step count monthly world step challenge,-2,13,Not_Rating
450059,684060,PBS KIDS Video,Steven Baker,2016-08-14,2019-04-01,3,Super what? Creepy. It's like the CIA has a new recruitment tool.. with poor spelling and grammar.,EDUCATION,Everyone,Super what  Creepy  It  s like the a new recruitment tool  with poor spelling and grammar,3,-2,Bug,Not_Feature,Not_UserExperience,Not_Rating,  Super what Creepy It s like the a new recruitment tool with poor spelling and grammar,  super what creepy like new recruitment tool with poor spelling grammar,  super what creepy like new recruitment tool with poor spelling grammar,  super what creepi it s like the a new recruit tool with poor spell and grammar,  super creepy like new recruitment tool poor spelling grammar,3,16,Rating
237924,359604,ClassDojo,t mahmood,2019-02-21,2019-03-24,4,THIS IS ok for a app to settle down,EDUCATION,Everyone,THIS IS for a to settle down,1,-1,Not_Bug,Not_Feature,UserExperience,Not_Rating,  THIS IS for a to settle down,  this for to settle,  this for to settle,  this is for a to settl down,  settle,1,7,Rating
90480,138737,YouTube Music - Stream Songs & Music Videos,Juan Carlos RodrÃ­guez Ramos,2019-02-16,2019-03-09,5,The best option in the market.,MUSIC AND AUDIO,Teen,The best option in the market,2,-1,Not_Bug,Not_Feature,Not_UserExperience,Ratings,  The best option in the market,  best option market,  best option market,  the best option in the market,  best option market,2,6,Rating
777701,1199123,Calorie Counter - MyFitnessPal,Latife Bulur,2019-03-23,2019-04-07,5,"I love this app. I recently tried using another through Avatar Nutrition and it's just not nearly as good as MFP. It has a huge food catalog. I have yet to stump MFP! The barcode feature is fantastic and it is so easy to add your own meals. Other apps don't track all the additional nutrients like MFP does and for someone like me who needs to keep an eye on my sodium levels, it's a big deal. I won't use anything else.",HEALTH AND FITNESS,Everyone,I love this  I recently tried another through Nutrition and it  s just not nearly as good as  It a huge food  I have yet to stump  The feature is fantastic and it is so easy to add your own  Other don  t track all the additional like does and for someone like me who needs to keep an eye on my sodium  it  s a big deal  I won  t use anything else,3,-1,Not_Bug,Not_Feature,UserExperience,Not_Rating,  I love this I recently tried another through Nutrition and it s just not nearly a good a It a huge food I have yet to stump The feature is fantastic and it is so easy to add your own Other don t track all the additional like doe and for someone like me who need to keep an eye on my sodium it s a big deal I won t use anything else,  love this recently tried another through nutrition just not nearly as good as huge food have yet to stump feature fantastic so easy to add own other don track all additional like does for someone like who needs to keep eye sodium big deal won use anything else,  love this recently tried another through nutrition just not nearly a good a huge food have yet to stump feature fantastic so easy to add own other don track all additional like doe for someone like who need to keep eye sodium big deal won use anything else,  i love this i recent tri anoth through nutrit and it s just not near as good as it a huge food i have yet to stump the featur is fantast and it is so easi to add your own other don t track all the addit like doe and for someon like me who need to keep an eye on my sodium it s a big deal i won t use anyth els,  love recently tried another nutrition nearly good huge food yet stump feature fantastic easy add track additional like someone like needs keep eye sodium big deal use anything else,3,74,Rating
1015999,1566686,Lose It! - Calorie Counter,A Google User,2018-07-18,2019-04-14,5,"Excellent weight loss app. Love the barcode feature. Even the free version 
has plenty of features for everyday use.",HEALTH AND FITNESS,Everyone,Excellent weight loss  Love the feature  Even the free version plenty of for everyday use,4,-3,Not_Bug,Not_Feature,UserExperience,Not_Rating,  Excellent weight loss Love the feature Even the free version plenty of for everyday use,  excellent weight loss love feature even free version plenty of for everyday use,  excellent weight loss love feature even free version plenty of for everyday use,  excel weight loss love the featur even the free version plenti of for everyday use,  excellent weight loss love feature even free version plenty everyday use,4,15,Rating
990976,1531218,Samsung Health,Bernd H Born,2019-04-14,2019-04-14,5,To many people cheating.,HEALTH AND FITNESS,Everyone,To many people cheating,1,-3,Not_Bug,Not_Feature,UserExperience,Not_Rating,  To many people cheating,  to many people cheating,  to many people cheating,  to mani peopl cheat,  many people cheating,-3,4,Rating
596897,912344,Family Locator - GPS Tracker,A Google User,2019-03-19,2019-04-01,4,"sometimes stops plotting position, and isn't completely accurate, but works well. It's a great app!!!",LIFESTYLE,Everyone,sometimes plotting position  and  t completely accurate  but works well  It  s a great,3,-1,Not_Bug,Not_Feature,Not_UserExperience,Ratings,  sometimes plotting position and t completely accurate but work well It s a great,  sometimes plotting position completely accurate but works well great,  sometimes plotting position completely accurate but work well great,  sometim plot posit and t complet accur but work well it s a great,  sometimes plotting position completely accurate works well great,3,14,Rating
28721,41511,Fresh EBT - Food Stamp Balance,,2019-03-03,2019-03-08,5,i love this app very useful. thanks,FINANCE,Everyone,i love this very useful  thanks,3,-1,Not_Bug,Not_Feature,Not_UserExperience,Ratings,  i love this very useful thanks,  love this very useful thanks,  love this very useful thanks,  i love this veri use thank,  love useful thanks,3,6,Rating
223241,338049,Google Classroom,,2018-11-09,2019-03-24,5,Great do you work at home,EDUCATION,Everyone,Great do you work at home,3,-1,Not_Bug,Not_Feature,UserExperience,Not_Rating,  Great do you work at home,  great do work at home,  great do work at home,  great do you work at home,  great work home,3,6,Rating
382737,582395,"Notepad - Notes with Reminder, ToDo, Sticky notes",Abing Rabani,2019-03-21,2019-03-24,5,nice note application,LIFESTYLE,Everyone,nice note application,2,-1,Not_Bug,Not_Feature,Not_UserExperience,Ratings,  nice note application,  nice note application,  nice note application,  nice note applic,  nice note application,2,3,Rating
669850,1024645,Duolingo: Learn Languages Free,Virginia Hutchinson,2019-04-06,2019-04-07,5,"Loving it, and it really is incredibly effective!",EDUCATION,Everyone,Loving it  and it really is incredibly effective,4,-1,Not_Bug,Not_Feature,UserExperience,Not_Rating,  Loving it and it really is incredibly effective,  loving really incredibly effective,  loving really incredibly effective,  love it and it realli is incred effect,  loving really incredibly effective,4,8,Rating
68495,102832,Battle Royale: FPS Shooter,SHERRI FERGUSON,2019-03-02,2019-03-08,4,"I just installed this game and it is amazing. I love and fully support this game and support any changes. However they could put a better map, storm, and better teamate markers.",GAME ACTION,Teen,I just this game and it is amazing  I love and fully support this game and support any  However they could put a better map  storm  and better,3,-2,Not_Bug,Feature,Not_UserExperience,Not_Rating,  I just this game and it is amazing I love and fully support this game and support any However they could put a better map storm and better,  just this game amazing love fully support this game support any however could put better map storm better,  just this game amazing love fully support this game support any however could put better map storm better,  i just this game and it is amaz i love and fulli support this game and support ani howev they could put a better map storm and better,  game amazing love fully support game support however could put better map storm better,3,28,Not_Rating
